모델명,연료,트림,가격
더 뉴 트랙스,디젤,1.6  LT,690
올 뉴 쏘울,디젤,1.6  노블레스 스페셜,990
싼타페 TM,디젤,2.2 2WD,2240
QM6,디젤,4WD RE 시그니처,920
G80,디젤,2.2D AWD,2050
K3,디젤,프레스티지,480
뉴QM5,디젤,2WD LE 플러스,490
그랜저 IG,가솔린,2.4 모던,1200
올 뉴 렉스턴,디젤,2.2 4WD,3370
티볼리 에어,가솔린,1.6 RX 2WD,920
더 뉴 K9,가솔린,3.3 GDI 이그제큐티브,1150
베리 뉴 티볼리,가솔린,1.5 2WD,1160
뉴SM5 플래티넘,가솔린,SE,499
그랜저 IG,가솔린,3.3 셀러브리티,1990
G80,가솔린,3.3 GDI AWD,2170
올란도,디젤,2.0  LT,330
스팅어 마이스터,가솔린,3.3 GT 마스터즈 터보 패키지,2890
알페온,가솔린,EL300,460
제네시스 DH,가솔린,G330 모던,1030
더 뉴 싼타페,디젤,2.2 4WD,2350
SM3 네오,가솔린,RE,330
G80 (RG3),가솔린,3.5 터보 2WD,3050
스파크,가솔린,스파크 S,350
캡티바,디젤,2WD 다이나믹 레드,540
QM6,가솔린,2WD RE,1490
쏘나타 (DN8),가솔린,1.6 터보,2199
더 뉴 카니발,디젤,9인승 프레스티지,1790
카니발 4세대,디젤,9인승 프레스티지,2370
K7 프리미어 하이브리드,가솔린+전기,노블레스,2580
쏘나타 하이브리드,가솔린+전기,2,445
코나,디젤,1.6 2WD,1219
레이,가솔린,디럭스 스페셜,500
G80,가솔린,3.8 GDI,2349
제네시스 쿠페,가솔린,200 터보 R,559
카니발 4세대,디젤,11인승 프레스티지,2400
쏘렌토 4세대,가솔린+전기,HEV 1.6 4WD,2999
G80,가솔린,3.3 GDI AWD,2035
싼타페 TM,디젤,2.0 2WD,1899
더 뉴 그랜저 IG 하이브리드,가솔린+전기,캘리그래피,2290
아반떼 AD,가솔린,1.6 GDI 프리미엄,820
더 뉴 카니발 4세대,가솔린+전기,HEV 9인승 그래비티,5479
베리 뉴 티볼리,가솔린,1.5 2WD,1480
뉴 투싼 ix,디젤,4WD,7979
아반떼 (CN7),가솔린,2.0 N,1890
QM3,디젤,RE 시그니처,550
투싼 (NX4),디젤,2.0 4WD,1970
제네시스 DH,가솔린,G330 모던 AWD,890
올 뉴 모닝,가솔린,스마트,360
G80 (RG3),가솔린,2.5 터보 2WD,5180
K3,가솔린,노블레스,700
더 뉴 카니발,디젤,9인승 럭셔리,1399
더 뉴 스파크,가솔린,LS,590
코나,가솔린,1.6 터보 2WD,1449
올 뉴 말리부,가솔린,1.5 터보 LT,599
K5,LPG,LPI 디럭스,330
엑센트(신형),가솔린,1.4 VVT 모던,750
K3,가솔린,노블레스,570
쏘렌토 4세대,디젤,2.2 2WD,3000
셀토스,가솔린,1.6 터보 4WD,2050
트레일블레이저,가솔린,1.3 터보 2WD,1639
렉스턴 스포츠,디젤,2.2 4WD,1570
더 뉴 레이,가솔린,밴,539
카니발 4세대,가솔린,9인승 하이리무진,5299
제네시스 DH,가솔린,G330 프리미엄 AWD,1300
뉴코란도 C,디젤,2.2 익스트림 4WD,550
싼타페 TM,디젤,2.0 4WD,2200
올 뉴 K7,가솔린,2.4 GDI 리미티드,1390
올 뉴 렉스턴,디젤,2.2 4WD,2850
더 뉴 그랜저 IG,가솔린,2.5,2269
GV70,가솔린,2.5T  AWD,6500
G4 렉스턴,디젤,2.2 4WD,1590
스포티지 5세대,가솔린,1.6 터보 2WD,1970
K7 프리미어,가솔린,2.5 GDI X 에디션,2520
올 뉴 카니발,디젤,9인승 노블레스,1730
더 뉴 니로,가솔린+전기,1.6 HEV,2330
더 뉴 카니발 4세대,가솔린+전기,HEV 9인승 하이리무진,8811
티볼리 에어,디젤,RX 2WD,700
SM6,디젤,1.5 dCi LE,950
G70,가솔린,3.3T 스포츠 AWD,3020
G90,가솔린,3.8 AWD,3600
K8 하이브리드,가솔린+전기,시그니처 스페셜,3960
더 뉴 레이,가솔린,밴,880
말리부,LPG,LPGi 2.0 LT,420
더 뉴 렉스턴 스포츠 칸,디젤,2.2 4WD,2520
싼타페 (MX5),가솔린,2.5T 2WD,9999
올 뉴 말리부,가솔린,1.5 터보 LS,550
GV80,디젤,3.0  AWD,4199
더 뉴 그랜저 IG,가솔린,2.5,2699
LF 쏘나타,가솔린,2.0 스타일,940
K5,LPG,LPI 디럭스,320
올 뉴 K3,가솔린,트렌디,9999
아반떼 하이브리드 (CN7),가솔린+전기,모던,1470
렉스턴 W,디젤,2.0 4WD RX7,790
K3,가솔린,럭셔리,700
더 뉴 K5 2세대,가솔린,2,1449
G80,가솔린,3.3 GDI,1590
더 뉴 그랜저 IG,가솔린,2.5,3049
제네시스 DH,가솔린,G330 모던,1600
그랜저 하이브리드 (GN7),가솔린+전기,캘리그래피,3850
스타리아,디젤,카고 5인승,2350
카니발 4세대,가솔린,7인승 노블레스,2950
더 뉴 QM6,LPG,2.0 LPe 프리미에르 2WD,1630
K3,가솔린,프레스티지,490
쏘렌토 4세대,가솔린+전기,HEV 1.6 4WD,3560
더 뉴 K9 2세대,가솔린,3.8 GDI AWD,4780
카니발 4세대,디젤,7인승 시그니처,3970
더 뉴 싼타페,디젤,2.2 2WD,3490
싼타페 더 프라임,디젤,2.0 2WD,1195
트레일블레이저,가솔린,1.3 터보 2WD,1540
쏘나타 뉴 라이즈,가솔린,2.0 모던,870
그랜저 IG,가솔린,2.4 프리미엄,980
GV80,가솔린,3.5T  AWD,5930
더 뉴 그랜저 IG,가솔린,2.5,1999
K8,가솔린,2.5  2WD,2740
K7 프리미어,가솔린,2.5 GDI 프레스티지,1970
올 뉴 카니발,디젤,9인승 프레스티지,1620
쏘울,가솔린,1.6 2U,599
아반떼 (CN7),가솔린,1.6,1699
더 뉴 코나 하이브리드,가솔린+전기,모던,2050
쏘렌토 4세대,디젤,2.2 2WD,2600
그랜저 IG,가솔린,2.4 프리미엄,2030
더 뉴 그랜저 IG,가솔린,2.5,2170
쏘렌토 4세대,가솔린+전기,HEV 1.6 4WD,2680
아반떼 하이브리드 (CN7),가솔린+전기,모던,1501
더 뉴 그랜저 IG,가솔린,2.5,2180
모하비,디젤,4WD KV300,640
더 뉴 모닝,가솔린,럭셔리,700
트레일블레이저,가솔린,1.3 터보 4WD,1830
카니발 4세대,디젤,7인승 노블레스,2970
아반떼 하이브리드 (CN7),가솔린+전기,모던,1780
더 뉴 아반떼 AD,가솔린,1.6,8888
GV80,가솔린,3.5T  AWD,5470
투싼 (NX4),디젤,2.0 2WD,2320
K7 프리미어,가솔린,2.5 GDI X 에디션,2490
스타리아,디젤,라운지 7인승,3650
그랑 콜레오스,가솔린+전기,1.5 E-TECH 에스프리 알핀 2WD,4240
카니발 4세대,디젤,9인승 프레스티지,2920
아반떼 MD,가솔린,M16 GDI 디럭스,510
싼타페 TM,가솔린,2.0T 4WD,2150
셀토스,가솔린,1.6 터보 2WD,1910
뉴오피러스,LPG,LPI GH270 고급형,270
그랜저 IG 하이브리드,가솔린+전기,익스클루시브,1670
코란도 스포츠,디젤,CX5 2WD,830
그랜저 IG 하이브리드,가솔린+전기,익스클루시브,1359
더 뉴 K5 하이브리드 2세대,가솔린+전기,노블레스,1980
K8 하이브리드,가솔린+전기,시그니처,2990
K5 2세대,가솔린,2.0 MX,770
카니발 R,디젤,뉴카니발 리무진 GLX,590
올 뉴 K3,가솔린,노블레스,1400
K5 3세대,가솔린,2,1999
라세티 프리미어,가솔린,1.6 CDX,205
LF 쏘나타,가솔린,2.0 스타일,1129
그랜드 스타렉스,디젤,캠핑카,990
레이,가솔린,럭셔리,580
더 뉴 i40,디젤,1.7 VGT,610
G80 (RG3),가솔린,2.5 터보 AWD,3299
G80,가솔린,3.8 GDI AWD,2250
QM3,디젤,RE,410
아슬란,가솔린,G300 모던,880
셀토스,가솔린,1.6 터보 2WD,2017
올 뉴 K7 하이브리드,가솔린+전기,노블레스,1280
코란도 스포츠,디젤,CX5 2WD,550
모닝 어반 (JA),가솔린,시그니처,1279
코란도 C,디젤,클러비 2WD,290
쏘나타 뉴 라이즈,LPG,LPI 모던,870
더 뉴 그랜저 IG,LPG,3.0 LPi,2080
뉴SM3,가솔린,RE,279
올 뉴 K7,가솔린,2.4 GDI 프레스티지,1675
팰리세이드,가솔린,3.8 4WD,3079
올 뉴 K7,디젤,2.2  리미티드,1550
스토닉,디젤,1.6,970
스토닉,디젤,1.6,999
SM5 노바,디젤,D 프리미엄,350
K8,가솔린,2.5  2WD,2710
EV9,전기,롱레인지 4WD,7900
갤로퍼 2,LPG,7인승 LPG V6 엑시드,660
K5,LPG,LPI 럭셔리,450
뉴 그랜저,가솔린,3.0 골드,390
마스터,디젤,2.3 밴 L,2690
EQ900,가솔린,3.3 T-GDI AWD,2150
더 뉴 아반떼,가솔린,1.6 GDi 모던,830
제네시스 DH,가솔린,G330 프리미엄,1550
G80,디젤,2.2D AWD,2350
레이,가솔린+LPG,프레스티지 바이퓨얼,620
K8,가솔린,3.5  2WD,2399
아이오닉6,전기,롱레인지,3640
더 K9,LPG,3.3 T-GDI AWD,2499
NF 쏘나타 트랜스폼,LPG,LPG N20 프리미어,190
레이,가솔린,프레스티지,420
티볼리 아머,가솔린,기어 플러스Ⅰ 2WD,950
올 뉴 카니발,디젤,9인승 프레스티지,1469
스포티지 더 볼드,디젤,2.0 2WD,1980
더 뉴 K3,가솔린,트렌디,620
K8,가솔린,2.5  2WD,2320
더 뉴 그랜드 스타렉스,디젤,밴 5인승,1840
그랜저 IG,가솔린,3.0 익스클루시브,2390
더 뉴 니로,가솔린+전기,1.6 HEV,2470
K3 쿱,가솔린,1.6 터보 노블레스,530
G80,가솔린,3.3 GDI,2099
더 뉴 i40,디젤,1.7 VGT,599
토레스,가솔린,1.5 2WD,2600
모하비 더 마스터,디젤,3.0 4WD 6인승,2680
올 뉴 말리부,가솔린,2.0 터보 LTZ,970
레이,가솔린,밴 고급형,630
그랜저 IG,LPG,3.0 LPI 택시형,1100
더 뉴 그랜저 IG,가솔린,3.3,2370
벨로스터 (JS),가솔린,2.0 N,1390
그랜저 하이브리드 (GN7),가솔린+전기,캘리그래피,4500
더 뉴 그랜저 IG 하이브리드,가솔린+전기,캘리그래피,3090
더 뉴 트랙스,가솔린,1.4 LT,890
뉴SM3,가솔린,RE,269
뉴 다마스,LPG,2인승 판넬밴,580
제네시스 DH,가솔린,G380 익스클루시브 AWD,1000
더 뉴 그랜저 IG,가솔린,2.5,2820
G90,가솔린,3.8 AWD,5390
모하비 더 마스터,디젤,3.0 4WD 6인승,2800
아반떼 MD,LPG,LPI M16 프리미어,410
아반떼 MD,가솔린,M16 GDI 프리미어,409
K3,가솔린,럭셔리,499
싼타페 TM,디젤,2.2 4WD,2050
더 뉴 K7,가솔린,2.4 GDI 프레스티지,730
카니발 4세대,가솔린,7인승 시그니처,3360
GV80,가솔린,3.5T  AWD,5155
그랜드 스타렉스,디젤,3인승 밴,1220
K7 프리미어,디젤,2.2  프레스티지,1999
그랜저 HG,LPG,LPG HG300 익스클루시브,1159
더 뉴 코나 하이브리드,가솔린+전기,모던,1950
더 뉴 카니발,디젤,7인승 리무진,1890
올 뉴 K7 하이브리드,가솔린+전기,노블레스 스페셜,2169
SM3 네오,가솔린,SE,500
카니발 4세대,가솔린,9인승 하이리무진,6290
엑센트(신형),가솔린,1.4 VVT 모던,400
그랜저 HG,가솔린,HG240 모던,849
K5 3세대,가솔린,2,1910
K7 프리미어,가솔린,3.0 GDI 시그니처,1999
올 뉴 모닝 (JA),가솔린,럭셔리,670
더 뉴 K5,LPG,LPI 럭셔리,590
더 뉴 그랜드 스타렉스,디젤,밴 3인승,1030
쏘나타 더 브릴리언트,가솔린,CVVL 스마트,450
쏘나타 디 엣지 하이브리드(DN8),가솔린+전기,인스퍼레이션,3330
제네시스,가솔린,BH330 그랜드,460
렉스턴 스포츠,디젤,2.2 2WD,990
더 뉴 그랜드 스타렉스,디젤,밴 5인승,1070
레이,가솔린,디럭스,515
EQ900,LPG,3.8 GDI AWD,1999
올란도,LPG,LPG LS,780
GV80,디젤,3.0  2WD,5085
쏘렌토 4세대,가솔린,2.5T 2WD,2770
더 넥스트 스파크,가솔린,LT,799
코란도 C,디젤,클러비 2WD,370
아반떼 MD,가솔린,M16 GDI 럭셔리,540
쏘렌토 4세대,가솔린+전기,HEV 1.6 2WD,4050
그랜드 스타렉스,디젤,어린이보호차,1380
올 뉴 K7 하이브리드,가솔린+전기,노블레스,1630
트랙스 크로스오버,가솔린,1.2 ACTIV,1699
코나 일렉트릭,전기,프리미엄,1550
더 뉴 쏘렌토,디젤,2.2 2WD,2220
레이,가솔린,럭셔리,565
더 뉴 아반떼 AD,가솔린,1.6,1300
i30 (PD),가솔린,1.6 터보,1450
쏘나타 (DN8),가솔린,2,2220
스타리아,LPG,L3.5 투어러 9인승,2899
뉴SM5 플래티넘,LPG,LPLi LE,550
제네시스,가솔린,BH380 로얄,377
크루즈5,가솔린,1.8 LTZ+,270
K7 프리미어,디젤,2.2  프레스티지,2100
올 뉴 모닝 (JA),가솔린,디럭스,760
모하비 더 마스터,디젤,3.0 4WD 6인승,3650
싼타페 더 프라임,디젤,2.2 2WD,1230
티볼리,디젤,VX 2WD,749
그랜저 IG,가솔린,3.3 셀러브리티,1490
티볼리,디젤,VX 2WD,590
K3,가솔린,트렌디,450
올 뉴 카니발,디젤,9인승 프레스티지,1300
쏘울,가솔린,1.6 스마트,390
스포티지 더 볼드,디젤,1.6 4WD,1450
더 뉴 말리부,가솔린+전기,1.8 하이브리드 LT,1050
K5 하이브리드 3세대,가솔린+전기,노블레스,2150
LF 쏘나타 하이브리드,가솔린+전기,2.0 HEV,990
그랜저 IG,가솔린,2.4 프리미엄,2020
싼타페 더 프라임,디젤,2.0 2WD,1590
더 뉴 카니발,디젤,9인승 노블레스 스페셜,2220
아반떼 (CN7),가솔린,2.0 N,2600
SM6,가솔린,2.0 GDe SE,990
G80,가솔린,3.3 GDI AWD,2299
올 뉴 K3,가솔린,럭셔리,1399
그랜저 HG,LPG,LPG HG300 장애인용,990
EQ900,가솔린,3.8 GDI AWD,1880
그랜저 HG,디젤,HG220  모던,670
쏘렌토 4세대,디젤,2.2 2WD,3160
올 뉴 카니발,디젤,9인승 프레스티지,1160
K8 하이브리드,가솔린+전기,노블레스,2399
K5 2세대,LPG,LPI MX,1200
티볼리 아머,디젤,VX 2WD,799
더 뉴 그랜저 IG,가솔린,2.5,1820
K5 하이브리드 3세대,가솔린+전기,프레스티지,2550
올 뉴 말리부,가솔린,1.5 터보 LTZ,550
올 뉴 카니발,디젤,7인승 리무진,1950
아반떼 AD,가솔린,1.6 GDI 밸류 플러스,1040
더 뉴 아반떼 AD,가솔린,1.6,1350
스팅어,가솔린,3.3 터보 2WD,1890
뉴SM3,가솔린,SE,180
아슬란,가솔린,G330 익스클루시브,699
더 뉴 K7,가솔린,3.0 GDI 프레스티지 스페셜,750
그랜저 HG,가솔린,HG300 프라임,650
SM6,LPG,2.0 LPe RE,1450
쏘나타 더 브릴리언트,LPG,LPI 모던,525
더 뉴 트랙스,가솔린,1.4 LTZ,630
싼타페 더 프라임,디젤,2.0 2WD,1260
XM3,가솔린,1.3 TCe RE 시그니처,1599
G90,가솔린,3.3 T AWD,4790
코나 하이브리드,가솔린+전기,프리미엄 스페셜,1739
K7 프리미어,가솔린,2.5 GDI X 에디션,2690
SM7 노바,가솔린,RE35,480
티볼리 에어,가솔린,1.6 RX 2WD,640
더 뉴 K5,LPG,LPI 프레스티지,850
더 뉴 카니발,디젤,9인승 노블레스 스페셜,2560
콜로라도,가솔린,3.6 익스트림-X 4WD,2350
그랜저 HG,가솔린,HG300 익스클루시브,890
더 뉴 카니발,디젤,9인승 노블레스 스페셜,1870
EQ900,가솔린,3.8 GDI,2260
올 뉴 카렌스,LPG,2.0 LPi 럭셔리,449
그랜저 IG,가솔린,2.4 모던,999
더 뉴 QM6,LPG,2.0 LPe RE 2WD,1890
더 뉴 모닝,가솔린,디럭스,9999
더 뉴 트랙스,디젤,1.6  LT,1050
벨로스터,가솔린,익스트림,390
G70,가솔린,2.0T,2330
그랜저 IG,디젤,2.2  프리미엄,1659
로체 이노베이션,LPG,LPI LX20,300
G80 (RG3),가솔린,2.5 터보 AWD,5470
벨로스터 (JS),가솔린,1.6 터보 스포츠,1350
아이오닉5,전기,롱레인지,3280
아반떼 (CN7),가솔린,2.0 N,2580
NF 쏘나타 트랜스폼,가솔린,N20 트랜스폼,265
아반떼 AD,가솔린,1.6 GDI 밸류 플러스,1050
올 뉴 K7,가솔린,3.0 GDI 리미티드,1380
올 뉴 카니발,디젤,11인승 럭셔리,750
더 뉴 쏘렌토,디젤,2.0 2WD,2130
EQ900,가솔린,3.3 T-GDI AWD,1990
아반떼 AD,가솔린,1.6 GDI 밸류 플러스,1270
뉴 스타일 코란도 C,디젤,2.2 익스트림 2WD,630
더 뉴 그랜저 IG 하이브리드,가솔린+전기,익스클루시브,2950
더 뉴 카니발,디젤,9인승 하이리무진,2349
그랜저 (GN7),가솔린,2.5  2WD,3889
G80 (RG3),가솔린,2.5 터보 2WD,4070
GV70,가솔린,2.5T  AWD,5500
K8 하이브리드,가솔린+전기,시그니처,3210
그랜저 HG,가솔린,HG240 모던,677
G70,가솔린,3.3T 스포츠 AWD,3200
SM6,LPG,2.0 LPe SE,730
더 K9,가솔린,3.8 GDI AWD,3600
그랜저 IG,디젤,2.2  프리미엄,1120
그랜저 IG,가솔린,2.4 프리미엄,899
더 뉴 프라이드,가솔린,5DR 1.6 GDI,560
액티언 2세대,가솔린,1.5 2WD,3250
제네시스 DH,가솔린,G330 프리미엄,1020
올 뉴 프라이드,가솔린,1.6 GDI 세단,370
렉스턴 W,디젤,2.0 4WD RX7,510
임팔라,가솔린,2.5 LTZ,790
G70,가솔린,3.3T 스포츠 AWD,2120
코란도 투리스모,디젤,4WD RT 11인승,478
G70,가솔린,2.0T AWD,3080
SM5 노바,디젤,D,299
더 뉴 싼타페,디젤,2.2 2WD,1890
i30(신형),가솔린,1.6 GDI 유니크,550
더 뉴 G70,가솔린,2.0T 2WD,2900
SM6,LPG,2.0 LPe SE,1340
SM5 노바,가솔린,RE,600
올 뉴 투싼,가솔린,1.6 터보 2WD,1890
베뉴,가솔린,1.6 모던,1770
더 뉴 아반떼,가솔린,1.6 GDi 모던,879
더 뉴 K8,가솔린,2.5  2WD,3990
올 뉴 투싼,디젤,2.0 2WD,1649
쏘렌토 4세대,디젤,2.2 2WD,2830
더 뉴 카니발,디젤,9인승 럭셔리,3100
EQ900,가솔린,3.8 GDI AWD,1730
G80,가솔린,3.3 GDI,1320
뉴 그랜저,가솔린,2.0 이그제큐티브,400
트랙스,디젤,1.6  프리미엄,600
더 뉴 아반떼,가솔린,1.6 GDi 모던,550
아반떼 AD,가솔린,1.6 GDI 프리미엄,790
K7 프리미어,가솔린,3.0 GDI 노블레스,1799
코란도 스포츠,디젤,CX7 4WD,599
트랙스,가솔린,1.4 LT,450
레이,가솔린,럭셔리,730
G80 (RG3),가솔린,2.5 터보 AWD,5650
K5 3세대,가솔린,2,2200
트랙스,가솔린,1.4 LTZ,419
더 뉴 레이,가솔린,스탠다드,850
아베오 세단,가솔린,1.4 터보 LS,250
제조사 기타,전기,기타 차,350
올 뉴 투싼,디젤,1.6 2WD,1830
K5 3세대,가솔린,2,1440
그랜드 스타렉스,디젤,4WD 어린이보호차,1300
쏘나타 (DN8),가솔린,2,1865
더 뉴 코나,가솔린,1.6 터보 2WD,1580
G4 렉스턴,디젤,2.2 4WD,1855
클리오,디젤,인텐스,999
QM3,디젤,LE,620
i40,디젤,1.7 VGT,710
그랜저 IG 하이브리드,가솔린+전기,익스클루시브,1450
G80,가솔린,3.8 GDI AWD,1270
스토닉,가솔린,1.4,1450
쏘렌토 4세대,디젤,2.2 2WD,3250
올 뉴 모닝 (JA),가솔린,럭셔리,799
더 뉴 K5,가솔린,2.0 수출형,1000
코란도 투리스모,디젤,4WD GT 9인승,490
투싼 (NX4),디젤,2.0 2WD,3390
모하비 더 마스터,디젤,3.0 4WD 5인승,3200
체어맨 H 뉴 클래식,가솔린,600S VIP,310
GV80,가솔린,2.5T  AWD,4060
그랜저 HG,가솔린,HG300 익스클루시브,1220
그랜드 스타렉스,디젤,5인승 밴,800
올란도,LPG,LPG LTZ,755
SM6,가솔린,1.6 TCe RE,750
레이,가솔린,터보 프레스티지,780
니로,가솔린+전기,프레스티지,1250
QM5 네오,디젤,2WD LE,459
카니발 4세대,디젤,9인승 프레스티지,2149
K8 하이브리드,가솔린+전기,노블레스,3100
SM7 New Art,가솔린,SE 플레져,280
스포티지 4세대,디젤,2.0 4WD 노블레스,1350
K7 프리미어 하이브리드,가솔린+전기,노블레스,1900
올 뉴 K7,가솔린,2.4 GDI 리미티드,1530
리얼 뉴 콜로라도,가솔린,3.6 Z71-X 4WD,2850
더 뉴 그랜저 IG 하이브리드,가솔린+전기,프리미엄 초이스,2670
트랙스 크로스오버,가솔린,1.2 레드라인,2290
더 뉴 카니발,가솔린,9인승 하이리무진,3399
i40,디젤,1.7 VGT,749
SM6,LPG,2.0 LPe LE,755
그랜저 IG,가솔린,3.0 익스클루시브,1560
싼타페 TM,디젤,2.0 4WD,1790
스팅어,가솔린,3.3 터보 AWD,2290
더 뉴 레이,가솔린,시그니처,990
G90 (RS4),가솔린,3.5 터보 AWD,5890
K7 프리미어,가솔린,2.5 GDI X 에디션,1890
포르테,가솔린,1.6 GDI 디럭스,355
더 뉴 i30,가솔린,2.0 PYL,740
아반떼 AD,가솔린,1.6 터보 스포츠,890
쏘울 부스터,가솔린,1.6 T-GDI 노블레스,1140
레이,가솔린,디럭스,540
올 뉴 K7,가솔린,3.3 GDI 노블레스,1399
EQ900,가솔린,3.3 T-GDI AWD,2500
더 K9,가솔린,3.8 GDI AWD,2100
K7 프리미어,가솔린,2.5 GDI 프레스티지,1890
K7 프리미어,가솔린,2.5 GDI 노블레스,2099
티볼리 아머,디젤,기어 에디션 2WD,630
그랜저 HG,LPG,LPG HG300 프리미엄,699
팰리세이드,디젤,2.2 2WD,2300
QM3,디젤,RE,880
제네시스,가솔린,BH330 럭셔리,699
스타리아,LPG,L3.5 카고 5인승,2950
LF 쏘나타,LPG,LPI 스마트,790
더 뉴 그랜저 IG,LPG,3.0 LPi,2279
뉴 투싼 ix,디젤,4WD,890
에쿠스(신형),가솔린,VS380,500
K9,가솔린,3.3 GDI 노블레스,950
팰리세이드,가솔린,3.8 2WD,3030
아반떼 AD,가솔린,1.6 GDI 스마트,690
코나,가솔린,1.6 터보 2WD,1870
올 뉴 K7 하이브리드,가솔린+전기,노블레스 스페셜,2280
모하비 더 마스터,디젤,3.0 4WD 6인승,4950
더 뉴 아반떼,가솔린,1.6 GDi 모던,750
더 뉴 그랜저 IG,가솔린,2.5,2870
그랜저 IG,디젤,2.2  프리미엄,1289
K5 2세대,LPG,LPI SX,799
더 뉴 K8 하이브리드,가솔린+전기,노블레스,4730
G90 (RS4),가솔린,3.5 터보 AWD,8599
투싼 (NX4),디젤,2.0 2WD,1850
올 뉴 투싼,가솔린,1.6 터보 2WD,1710
올 뉴 K3,가솔린,프레스티지,9999
더 뉴 카니발,가솔린,7인승 리무진,2490
더 뉴 쏘렌토 4세대,가솔린,2.5T 2WD,4690
더 뉴 그랜저 IG,가솔린,2.5,3290
QM6,가솔린,2WD RE 시그니처,1290
더 뉴 팰리세이드,가솔린,3.8 2WD,3390
EQ900,가솔린,3.8 GDI AWD,2220
뉴SM5 플래티넘,가솔린,SE,300
팰리세이드,가솔린,3.8 4WD,2670
더 뉴 레이,가솔린,시그니처,1230
스타리아,LPG,L3.5 어린이보호차,3700
더 뉴 그랜드 스타렉스,디젤,4WD 웨건 12인승,2250
더 뉴 코나,가솔린,1.6 터보 2WD,1590
뉴코란도 C,디젤,2.0 CVT 2WD,260
더 뉴 그랜저 IG,가솔린,2.5,2720
더 뉴 그랜저 IG 하이브리드,가솔린+전기,캘리그래피,2890
쏘렌토 4세대,가솔린+전기,HEV 1.6 2WD,3890
올 뉴 카니발,디젤,7인승 리무진,1400
더 뉴 싼타페,가솔린+전기,HEV 1.6 2WD,4090
EV3,전기,롱레인지 2WD,3930
G80 (RG3),가솔린,2.5 터보 2WD,3680
티볼리,가솔린,LX 2WD,830
더 뉴 쏘렌토,디젤,2.0 2WD,1910
더 뉴 레이,가솔린,베스트 셀렉션,1500
아베오 세단,가솔린,1.4 터보 LT,325
스포티지 5세대 하이브리드,가솔린+전기,프레스티지 2WD,2799
올란도,LPG,LPG 퍼펙트 블랙,850
트랙스 크로스오버,가솔린,1.2 ACTIV,2150
뉴SM5 플래티넘,가솔린,LE,189
더 뉴 K5,가솔린,럭셔리,850
토레스,가솔린,1.5 2WD,1980
아이오닉5,전기,롱레인지,3750
올 뉴 카니발,디젤,7인승 아웃도어,1559
더 뉴 그랜저 IG,가솔린,2.5,3299
